Log file produced by: Storyboard Pro (StoryboardPro.exe) version 25.0.0 build 23967 2025-06-05 18:44:20
﻿2026-04-01 17:48:18;ACTION;Start Paste Panel(s) (SBU_SboardUtil.cpp,5019)
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-11.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-32.tvg;d-32.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-10.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-33.tvg;d-33.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-10_1.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-34.tvg;d-34.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-14.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-35.tvg;d-35.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-15.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-36.tvg;d-36.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-16.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-37.tvg;d-37.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-17.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-38.tvg;d-38.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-7_1.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-39.tvg;d-39.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-9_1.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-40.tvg;d-40.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-11_1.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-41.tvg;d-41.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-10_2.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-42.tvg;d-42.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-17_1.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-43.tvg;d-43.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-16_1.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-44.tvg;d-44.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-15_1.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-45.tvg;d-45.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-14_1.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-46.tvg;d-46.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-10_3.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-47.tvg;d-47.tvg~ OK 
﻿  2026-04-01 17:50:19;ACTION;End saveDrawings - copy all drawings from temp to project (tudrawinglist.cpp,796)
﻿  2026-04-01 17:50:19;ACTION;Start saveDrawings - save all modified drawings in memory (tudrawinglist.cpp,861)
﻿  2026-04-01 17:50:19;ACTION;End saveDrawings - save all modified drawings in memory (tudrawinglist.cpp,861)
